id,valence,om2,ze
6473978,sensory,0.528487,-0.129084
6474429,sensory,-0.467749,0.703406
6476784,sensory,0.218685,0.291204
6477566,sensory,0.0789734,-0.633686
6492115,sensory,-5.77515,0.349085
6492457,sensory,0.43363,0.12651
6492475,sensory,-4.20299,0.458074
6493003,sensory,0.527572,0.14333
6493446,sensory,0.00827439,-0.0302987
6494205,sensory,-0.507252,0.0395634
6494535,sensory,0.469212,0.403505
6494810,sensory,-1.3674,0.34451
6494475,sensory,-0.688426,0.0517409
6497513,sensory,-4.6163,-0.649376
6501040,sensory,-0.0124035,0.074749
6503800,sensory,-5.78955,0.350353
6506216,sensory,-0.109698,-0.292536
6506272,sensory,-0.74439,-0.642318
6505230,sensory,-0.0990534,-0.280438
6505729,sensory,-0.734818,0.589466
6507041,sensory,-0.533938,0.167774
6504279,sensory,-3.85109,-0.428007
6506712,sensory,-7.0418,0.874613
6496085,sensory,0.205845,0.408865
6509835,sensory,-0.230895,0.473
6505186,sensory,-5.32562,0.223144
6504855,sensory,0.177173,0.538285
6512524,sensory,-5.5735,-0.0787858
6512437,sensory,-4.18532,0.302336
6506184,sensory,-0.565843,0.927496
6513693,sensory,-1.08424,0.490301
6518064,sensory,-4.72096,-0.0570092
6513721,sensory,-5.17456,0.352486
6515174,sensory,0.320423,-0.0359388
6513457,sensory,-1.40963,-0.154287
6529776,sensory,0.443553,0.415397
6530209,sensory,-4.52156,-0.165945
6530094,sensory,-7.6483,0.799147
6520876,sensory,-0.0457894,0.187236
6537312,sensory,-0.302827,0.0430466
6514151,sensory,-0.104782,0.39207
6537362,sensory,-0.013811,-0.376859
6538937,sensory,-0.147592,0.0238449
6532445,sensory,-5.01369,1.09864
6517996,sensory,-0.198802,0.142852
6539301,sensory,-1.0975,0.016115
6518101,sensory,-0.00313977,0.461245
6518079,sensory,-6.83589,0.157346
6530472,sensory,-0.337307,0.509591
6516749,sensory,-4.7264,0.796464
6544423,sensory,-1.38033,0.427912
6545599,sensory,-1.26956,-0.632858
6517972,sensory,-1.07685,-0.421397
6533364,sensory,0.331118,0.742027
6542432,sensory,-0.65061,0.208319
6552578,sensory,0.309361,-0.254779
6528953,sensory,-0.661872,0.446213
6536865,sensory,0.286619,0.716343
6555809,sensory,-0.182871,-0.0259273
6541846,sensory,0.257793,-0.135155
6591762,sensory,-5.50253,1.55953
6587402,sensory,-5.66118,0.454984
6572629,sensory,-1.08812,0.002626
6569931,sensory,-0.268679,0.403196
6579202,sensory,-0.661181,0.724368
6609370,sensory,-0.119014,0.906876
6607299,sensory,-5.69629,0.897954
6612952,sensory,-5.52169,0.704875
6617254,sensory,0.296378,1.22673
6609207,sensory,-0.509501,0.276706
6634220,sensory,0.365545,0.434199
6633257,sensory,-1.44159,0.708406
6613125,sensory,-1.82529,-0.189373
6634241,sensory,-3.49444,1.24361
6630778,sensory,-2.60727,1.26651
6634245,sensory,-0.445419,0.248413
6609771,sensory,0.0952937,0.285962
6631556,sensory,-3.31473,-0.658066
6628595,sensory,-0.426699,-0.569409
