id,valence,om2,ze
6473978,sensory,0.37694,0.082803
6474429,sensory,-0.60364,0.72812
6476784,sensory,0.11326,0.33524
6477566,sensory,-0.63946,-0.546
6492115,sensory,-3.5999,-0.13785
6492457,sensory,0.3453,0.24832
6492475,sensory,-3.8071,0.36763
6493003,sensory,0.18452,0.25944
6493446,sensory,-0.16957,0.019058
6494205,sensory,-0.82595,0.094066
6494535,sensory,0.34055,0.57203
6494810,sensory,-1.6039,0.37827
6494475,sensory,-1.2551,0.14006
6497513,sensory,-3.016,-0.84453
6501040,sensory,-0.21734,0.12635
6503800,sensory,-4.5069,0.021451
6506216,sensory,-0.60221,-0.20712
6506272,sensory,-1.9197,-0.54923
6505390,sensory,-4.6552,0.039071
6505746,sensory,-0.026079,-0.10109
6505230,sensory,-0.62197,-0.19065
6505365,sensory,0.34803,-0.26192
6505729,sensory,-0.93419,0.62329
6509988,sensory,-4.5168,-0.33473
6507041,sensory,-0.92163,0.22308
6504279,sensory,-3.3017,-0.5029
6506712,sensory,-2.1014,-0.20836
6496085,sensory,0.10093,0.45442
6509835,sensory,-0.33993,0.49732
6505186,sensory,-4.6055,0.035501
6504855,sensory,0.17213,0.53994
6512524,sensory,-4.1381,-0.41277
6505835,sensory,-4.3682,-0.35861
6512437,sensory,-3.2734,0.1239
6506184,sensory,-0.68133,0.94468
6513693,sensory,-1.2954,0.52371
6518064,sensory,-3.8521,-0.23703
6522950,sensory,-4.7327,0.16917
6513721,sensory,-3.4125,-0.026598
6523154,sensory,-0.16147,-0.11955
6515174,sensory,0.23111,0.0046494
6513457,sensory,-1.7103,-0.12038
6529776,sensory,0.3052,0.51927
6530209,sensory,-3.9618,-0.27491
6530094,sensory,-6.2476,0.42716
6520876,sensory,-0.21314,0.22802
6537312,sensory,-0.54764,0.087594
6514151,sensory,-0.29299,0.43962
6537362,sensory,-0.42573,-0.30976
6538937,sensory,-0.32443,0.059902
6532445,sensory,-4.5577,0.9751
6517996,sensory,-0.39491,0.18689
6539301,sensory,-1.3757,0.051193
6528789,sensory,-7.7229,1.1573
6518101,sensory,-0.092857,0.48857
6518079,sensory,-5.0722,-0.3832
6524129,sensory,0.4203,0.29022
6530472,sensory,-0.43184,0.5303
6516749,sensory,-4.3209,0.69713
6544423,sensory,-1.5375,0.45143
6545599,sensory,-2.2492,-0.55642
6517972,sensory,-1.8043,-0.34244
6533364,sensory,0.28657,0.77062
6542432,sensory,-0.88397,0.24796
6552578,sensory,0.31065,-0.25384
6528953,sensory,-0.80792,0.47089
6536865,sensory,0.32835,0.70119
6555809,sensory,-0.47425,0.02972
6541846,sensory,0.047239,-0.066241
6591762,sensory,-5.3394,1.5101
6587402,sensory,-5.0171,0.28477
6572629,sensory,-1.5356,0.060209
6569931,sensory,-0.5391,0.45602
6579202,sensory,-0.81372,0.7531
6609370,sensory,-0.16245,0.9223
6607299,sensory,-4.9421,0.69249
6612952,sensory,-5.0038,0.55802
6617254,sensory,0.28146,1.2409
6609207,sensory,-0.71776,0.31068
6634220,sensory,0.46174,0.044407
6633257,sensory,-1.5764,0.72494
6613125,sensory,-2.2925,-0.13114
6634241,sensory,-3.4677,1.2382
6630778,sensory,-2.6451,1.2716
6634245,sensory,-0.82263,0.31583
6609771,sensory,0.056953,0.29907
6631556,sensory,-3.1645,-0.68073
6628595,sensory,-1.86,-0.40749
6655877,sensory,-1.6114,0.48535
6659520,sensory,-1.0144,1.2117
6655663,sensory,-2.6908,0.28898
6669785,sensory,-0.37463,-0.15291
6675337,sensory,-0.92043,0.80779
6686628,sensory,0.03939,0.41881
6685809,sensory,-2.9051,0.2993
6685638,sensory,-0.68598,0.55764
6688364,sensory,-0.26181,0.41633
6687167,sensory,-3.2841,0.42339
6691339,sensory,-2.5632,0.55108
6690368,sensory,-4.1466,-0.46495
6696588,sensory,-0.68269,0.10912
6712485,sensory,-2.0056,-0.25307
6706234,sensory,-1.0652,0.7764
6734994,sensory,-3.4527,-0.50997
6724237,sensory,-0.88168,0.090726
6756843,sensory,-0.57799,0.21739
6779505,sensory,-2.2943,1.0066
6783129,sensory,0.16554,0.54358
6787638,sensory,-2.1994,-0.51183
6794870,sensory,0.52498,-0.36371
6802885,sensory,-1.2874,0.63089
6795746,sensory,-1.507,-0.35118
6784869,sensory,-1.0218,0.60834
6806917,sensory,-0.096161,-0.0025092
6825085,sensory,-1.2706,0.069165
6825065,sensory,0.062854,0.17656
6807419,sensory,-4.4857,-0.028478
6830576,sensory,-0.59997,-0.041684
6832313,sensory,0.040533,0.05096
6832538,sensory,0.26138,0.27484
6832755,sensory,-1.0589,0.29183
6833487,sensory,-0.72281,0.12922
6833552,sensory,-2.8398,-0.50422
6833688,sensory,-0.53201,0.70016
6833708,sensory,-0.89161,0.31297
6833601,sensory,-3.8412,0.12563
6835949,sensory,-0.054757,0.44395
6837126,sensory,-1.0629,0.061113
6837614,sensory,-0.78428,0.51117
6837765,sensory,0.30203,0.26347
6846807,sensory,-3.0568,-0.44056
6847162,sensory,-1.9643,1.6703
6839806,sensory,-0.0099024,0.078256
6853410,sensory,-3.9183,-0.6327
6839330,sensory,-6.8224,1.6494
6843583,sensory,-3.8507,2.0813
6862266,sensory,-2.423,-0.9063
6844656,sensory,0.10497,0.13183
7197136,sensory,-0.13002,0.63248
7197527,sensory,-4.0958,-1.0234
7197593,sensory,-1.9449,0.16271
7197835,sensory,-4.1271,-0.4163
7198155,sensory,-4.4458,-0.14493
7198256,sensory,0.33853,0.073045
7198530,sensory,-0.7601,-0.12611
7199038,sensory,0.48683,0.51975
7198639,sensory,-4.1884,0.13976
7199832,sensory,0.040334,-0.14644
7200804,sensory,-4.4407,-0.55109
7206588,sensory,-2.1104,0.27508
7203963,sensory,-0.98091,-0.66328
7204678,sensory,0.1247,0.63342
7201486,sensory,-4.4412,-0.42943
7201693,sensory,-0.93416,0.58429
6474429,aversive,-3.9854,1.4492
6474917,aversive,-3.8408,-0.54111
6476784,aversive,0.039437,0.22185
6492457,aversive,0.13602,0.41178
6492475,aversive,-5.464,0.00040579
6493003,aversive,0.33617,0.28311
6494475,aversive,-0.50116,-0.36544
6497513,aversive,-0.32716,-0.085924
6498513,aversive,0.051328,0.73677
6503800,aversive,-1.1984,-0.1871
6504585,aversive,-3.5402,-0.606
6505746,aversive,-0.077757,-0.079246
6505729,aversive,-0.61154,-0.25229
6509988,aversive,-0.050204,0.08829
6505230,aversive,-3.8152,-0.061024
6507041,aversive,-0.034023,-0.23762
6505365,aversive,0.1091,0.03468
6504279,aversive,-3.2019,-0.5259
6512524,aversive,-5.1531,-0.16086
6508206,aversive,-6.0943,0.70328
6504855,aversive,-3.1436,0.19335
6505835,aversive,-2.1061,0.56045
6509897,aversive,-2.2898,0.079725
6506184,aversive,-0.64765,0.029746
6512874,aversive,-0.30833,-0.015452
6513721,aversive,-2.8237,-0.24227
6529776,aversive,0.43483,0.18051
6530094,aversive,-6.7232,0.7711
6530209,aversive,-1.0851,-0.81982
6515174,aversive,-0.12835,-0.49164
6513693,aversive,-1.701,1.0331
6537362,aversive,-2.1607,-0.031098
6518079,aversive,-0.75083,-0.40634
6514151,aversive,0.40654,0.1122
6528789,aversive,-4.2504,-0.44542
6520876,aversive,-2.0117,0.94104
6532445,aversive,-3.1889,0.70881
6524129,aversive,0.026015,-0.31293
6517996,aversive,-0.67305,0.026103
6544423,aversive,-7.6373,1.2204
6538937,aversive,-0.040179,0.3339
6528953,aversive,-0.5988,0.76773
6552578,aversive,-0.072394,-0.41279
6539301,aversive,-0.81392,-0.2134
6542432,aversive,-0.58088,0.063194
6555809,aversive,-1.275,0.16423
6536865,aversive,0.25072,0.54137
6547715,aversive,-4.838,-0.57034
6541846,aversive,-0.5446,0.048697
6587402,aversive,-4.1323,-0.52781
6572629,aversive,-2.1371,-0.84837
6579202,aversive,-4.102,0.49537
6609370,aversive,0.084572,0.67863
6583341,aversive,-4.7722,-0.27672
6617254,aversive,0.46054,1.1803
6612952,aversive,-4.8976,-0.40691
6609207,aversive,-1.0821,-0.16998
6634220,aversive,-0.10707,-0.24682
6634241,aversive,-1.6821,1.5009
6614490,aversive,-0.83482,0.73005
6630778,aversive,-2.4082,0.84792
6609771,aversive,-0.55818,0.047712
6631556,aversive,-3.5989,-0.71224
6634245,aversive,-4.0046,-0.61107
6662032,aversive,-4.7143,-0.63012
6654228,aversive,-4.8409,-0.41333
6655877,aversive,-0.36109,-0.20216
6655663,aversive,-0.14892,0.21714
6669785,aversive,-0.57148,-0.1239
6675337,aversive,-2.2161,1.2499
6687167,aversive,-4.6103,1.0607
6691339,aversive,-0.82446,0.064135
6688364,aversive,0.5237,-0.56107
6691827,aversive,0.17685,0.34571
6685809,aversive,-0.799,0.036872
6696588,aversive,-0.57902,-0.055751
6712485,aversive,-0.80031,0.086129
6706234,aversive,-0.94098,1.0093
6734994,aversive,-0.65153,0.028799
6756843,aversive,-1.1119,0.20128
6783484,aversive,-1.3381,0.38215
6783129,aversive,-0.068208,-0.045903
6787638,aversive,-2.984,-0.056229
6779505,aversive,-1.8485,0.83192
6794870,aversive,-4.9708,-0.48237
6784869,aversive,-0.26832,0.20799
6795746,aversive,-0.39586,-0.32551
6806917,aversive,-3.7717,-0.17298
6825085,aversive,-1.1203,0.27378
6825065,aversive,-4.321,-0.2
6807419,aversive,-2.0068,0.5241
6830576,aversive,-0.63194,0.34703
6832313,aversive,-0.4727,-0.25012
6832538,aversive,0.32988,-0.044423
6832755,aversive,-4.9502,-0.43851
6833487,aversive,-0.32349,0.23321
6833552,aversive,-3.8946,-0.65934
6833688,aversive,-0.021835,0.0028879
6833601,aversive,-3.2526,-0.6869
6834861,aversive,-3.707,0.21578
6835949,aversive,-2.8959,-0.0024745
6837126,aversive,-2.5662,0.20129
6837614,aversive,-0.90063,0.55344
6847162,aversive,-4.1994,1.5286
6839806,aversive,0.21613,-0.031161
6853410,aversive,-2.8332,-0.5193
6839330,aversive,0.1816,-0.2378
6850478,aversive,-5.0253,-0.029944
6843583,aversive,-4.0176,1.1965
6862266,aversive,-1.0254,-0.37599
6844656,aversive,-0.0663,-0.15512
7197203,aversive,-4.5915,-0.30981
7197428,aversive,-3.4439,-0.24021
7197527,aversive,-3.0837,-0.15421
7197593,aversive,-3.0356,-0.30906
7197835,aversive,-2.7444,-0.37318
7198155,aversive,-4.7076,-0.50704
7198530,aversive,-0.81272,-0.39206
7199038,aversive,-1.001,0.93567
7198639,aversive,-3.7491,-0.21274
7200804,aversive,-5.0669,0.063748
7206588,aversive,-2.1438,-0.33968
7203963,aversive,-0.47062,-0.48654
7204678,aversive,-4.4103,-0.14666
7201693,aversive,-3.4351,1.1849
